order_id,order_date,customer,city,SUN-SEEKER-100,SUN-SAND-100,SUN-BUNDLE-100,product_subtotal,shipping_charge,lalamove_cost
TSP-2025-0067,2025-04-14,Demo Customer Luntian,Muntinlupa,0,0,5,4995.00,0.00,180.00
TSP-2025-0068,2025-04-17,Demo Customer Aurora,Makati,5,0,6,8719.00,0.00,120.00
TSP-2025-0069,2025-04-20,Demo Customer Bayani,Taguig,2,6,0,4660.00,0.00,120.00
TSP-2025-0070,2025-04-23,Demo Customer Coral,Pasig,4,5,6,11149.00,0.00,150.00
TSP-2025-0071,2025-04-26,Demo Customer Dalisay,Manila,0,0,5,4995.00,0.00,150.00
TSP-2025-0072,2025-04-29,Demo Customer Estrella,Quezon City,0,4,5,7375.00,0.00,180.00
TSP-2025-0073,2025-05-07,Demo Customer Ginto,Makati,0,5,3,5972.00,0.00,120.00
TSP-2025-0074,2025-05-10,Demo Customer Hiraya,Taguig,2,0,3,4087.00,0.00,120.00
TSP-2025-0075,2025-05-13,Demo Customer Isla,Pasig,4,5,3,8152.00,0.00,150.00
TSP-2025-0076,2025-05-16,Demo Customer Jasmin,Manila,0,7,0,4165.00,0.00,150.00
TSP-2025-0077,2025-05-19,Demo Customer Kidlat,Quezon City,0,6,2,5568.00,0.00,180.00
TSP-2025-0078,2025-05-22,Demo Customer Luntian,Muntinlupa,5,7,0,6890.00,0.00,180.00
TSP-2025-0079,2025-05-25,Demo Customer Aurora,Makati,5,4,6,11099.00,0.00,120.00
TSP-2025-0080,2025-05-28,Demo Customer Bayani,Taguig,0,0,2,1998.00,0.00,120.00
TSP-2025-0081,2025-05-02,Demo Customer Coral,Pasig,7,0,3,6812.00,0.00,150.00
TSP-2025-0082,2025-05-05,Demo Customer Dalisay,Manila,4,2,0,3370.00,0.00,150.00
TSP-2025-0083,2025-05-08,Demo Customer Estrella,Quezon City,5,3,5,9505.00,0.00,180.00
TSP-2025-0084,2025-05-11,Demo Customer Flores,Muntinlupa,3,0,0,1635.00,0.00,180.00
TSP-2025-0085,2025-05-14,Demo Customer Ginto,Makati,0,5,2,4973.00,0.00,120.00
TSP-2025-0086,2025-05-17,Demo Customer Hiraya,Taguig,0,5,4,6971.00,0.00,120.00
TSP-2025-0087,2025-05-20,Demo Customer Isla,Pasig,7,2,3,8002.00,0.00,150.00
TSP-2025-0088,2025-05-23,Demo Customer Jasmin,Manila,0,0,4,3996.00,0.00,150.00
TSP-2025-0089,2025-05-26,Demo Customer Kidlat,Quezon City,5,0,4,6721.00,0.00,180.00
TSP-2025-0090,2025-05-29,Demo Customer Luntian,Muntinlupa,5,0,3,5722.00,0.00,180.00
TSP-2025-0091,2025-06-08,Demo Customer Bayani,Taguig,0,2,6,7184.00,0.00,120.00
TSP-2025-0092,2025-06-11,Demo Customer Coral,Pasig,5,2,3,6912.00,0.00,150.00
TSP-2025-0093,2025-06-14,Demo Customer Dalisay,Manila,5,0,0,2725.00,0.00,150.00
TSP-2025-0094,2025-06-17,Demo Customer Estrella,Quezon City,2,0,2,3088.00,0.00,180.00
TSP-2025-0095,2025-06-20,Demo Customer Flores,Muntinlupa,3,7,0,5800.00,0.00,180.00
TSP-2025-0096,2025-06-23,Demo Customer Ginto,Makati,4,5,6,11149.00,0.00,120.00
TSP-2025-0097,2025-06-26,Demo Customer Hiraya,Taguig,0,0,5,4995.00,0.00,120.00
TSP-2025-0098,2025-06-29,Demo Customer Isla,Pasig,7,5,0,6790.00,0.00,150.00
TSP-2025-0099,2025-06-04,Demo Customer Jasmin,Manila,0,4,7,9373.00,0.00,150.00
TSP-2025-0100,2025-06-07,Demo Customer Kidlat,Quezon City,6,5,4,10241.00,0.00,180.00
TSP-2025-0101,2025-06-10,Demo Customer Luntian,Muntinlupa,5,0,0,2725.00,0.00,180.00
TSP-2025-0102,2025-06-13,Demo Customer Aurora,Makati,6,0,7,10263.00,0.00,120.00
TSP-2025-0103,2025-06-16,Demo Customer Bayani,Taguig,0,5,7,9968.00,0.00,120.00
TSP-2025-0104,2025-06-19,Demo Customer Coral,Pasig,7,4,7,13188.00,0.00,150.00
TSP-2025-0105,2025-06-22,Demo Customer Dalisay,Manila,2,0,0,1090.00,150.00,150.00
TSP-2025-0106,2025-06-25,Demo Customer Estrella,Quezon City,0,6,2,5568.00,0.00,180.00
TSP-2025-0107,2025-06-28,Demo Customer Flores,Muntinlupa,5,0,5,7720.00,0.00,180.00
TSP-2025-0108,2025-06-03,Demo Customer Ginto,Makati,7,5,2,8788.00,0.00,120.00
TSP-2025-0109,2025-07-09,Demo Customer Isla,Pasig,2,4,4,7466.00,0.00,150.00
TSP-2025-0110,2025-07-12,Demo Customer Jasmin,Manila,0,3,0,1785.00,0.00,150.00
TSP-2025-0111,2025-07-15,Demo Customer Kidlat,Quezon City,2,6,0,4660.00,0.00,180.00
TSP-2025-0112,2025-07-18,Demo Customer Luntian,Muntinlupa,2,6,0,4660.00,0.00,180.00
TSP-2025-0113,2025-07-21,Demo Customer Aurora,Makati,4,4,7,11553.00,0.00,120.00
TSP-2025-0114,2025-07-24,Demo Customer Bayani,Taguig,0,0,7,6993.00,0.00,120.00
TSP-2025-0115,2025-07-27,Demo Customer Coral,Pasig,0,4,6,8374.00,0.00,150.00
TSP-2025-0116,2025-07-30,Demo Customer Dalisay,Manila,0,7,4,8161.00,0.00,150.00
TSP-2025-0117,2025-07-04,Demo Customer Estrella,Quezon City,3,7,6,11794.00,0.00,180.00
TSP-2025-0118,2025-07-07,Demo Customer Flores,Muntinlupa,0,6,0,3570.00,0.00,180.00
TSP-2025-0119,2025-07-10,Demo Customer Ginto,Makati,2,3,0,2875.00,0.00,120.00
TSP-2025-0120,2025-07-13,Demo Customer Hiraya,Taguig,4,0,2,4178.00,0.00,120.00
TSP-2025-0121,2025-07-16,Demo Customer Isla,Pasig,7,6,4,11381.00,0.00,150.00
TSP-2025-0122,2025-07-19,Demo Customer Jasmin,Manila,0,0,3,2997.00,0.00,150.00
TSP-2025-0123,2025-07-22,Demo Customer Kidlat,Quezon City,2,0,6,7084.00,0.00,180.00
TSP-2025-0124,2025-07-25,Demo Customer Luntian,Muntinlupa,2,0,2,3088.00,0.00,180.00
TSP-2025-0125,2025-07-28,Demo Customer Aurora,Makati,7,2,3,8002.00,0.00,120.00
TSP-2025-0126,2025-07-02,Demo Customer Bayani,Taguig,0,0,6,5994.00,0.00,120.00
TSP-2025-0127,2025-08-10,Demo Customer Dalisay,Manila,0,0,6,5994.00,0.00,150.00
TSP-2025-0128,2025-08-13,Demo Customer Estrella,Quezon City,4,0,6,8174.00,0.00,180.00
TSP-2025-0129,2025-08-16,Demo Customer Flores,Muntinlupa,0,4,4,6376.00,0.00,180.00
TSP-2025-0130,2025-08-19,Demo Customer Ginto,Makati,5,6,3,9292.00,0.00,120.00
TSP-2025-0131,2025-08-22,Demo Customer Hiraya,Taguig,4,0,0,2180.00,0.00,120.00
TSP-2025-0132,2025-08-25,Demo Customer Isla,Pasig,4,0,2,4178.00,0.00,150.00
TSP-2025-0133,2025-08-28,Demo Customer Jasmin,Manila,0,6,3,6567.00,0.00,150.00
TSP-2025-0134,2025-08-02,Demo Customer Kidlat,Quezon City,4,5,5,10150.00,0.00,180.00
TSP-2025-0135,2025-08-05,Demo Customer Luntian,Muntinlupa,0,2,0,1190.00,150.00,180.00
TSP-2025-0136,2025-08-08,Demo Customer Aurora,Makati,2,0,7,8083.00,0.00,120.00
TSP-2025-0137,2025-08-11,Demo Customer Bayani,Taguig,0,4,2,4378.00,0.00,120.00
TSP-2025-0138,2025-08-14,Demo Customer Coral,Pasig,4,4,5,9555.00,0.00,150.00
TSP-2025-0139,2025-08-17,Demo Customer Dalisay,Manila,0,6,0,3570.00,0.00,150.00
TSP-2025-0140,2025-08-20,Demo Customer Estrella,Quezon City,0,4,6,8374.00,0.00,180.00
TSP-2025-0141,2025-08-23,Demo Customer Flores,Muntinlupa,6,2,0,4460.00,0.00,180.00
TSP-2025-0142,2025-08-26,Demo Customer Ginto,Makati,7,5,5,11785.00,0.00,120.00
TSP-2025-0143,2025-08-29,Demo Customer Hiraya,Taguig,0,6,0,3570.00,0.00,120.00
TSP-2025-0144,2025-08-03,Demo Customer Isla,Pasig,6,7,0,7435.00,0.00,150.00
TSP-2025-0145,2025-09-11,Demo Customer Kidlat,Quezon City,5,0,4,6721.00,0.00,180.00
TSP-2025-0146,2025-09-14,Demo Customer Luntian,Muntinlupa,3,4,0,4015.00,0.00,180.00
TSP-2025-0147,2025-09-17,Demo Customer Aurora,Makati,6,2,3,7457.00,0.00,120.00
TSP-2025-0148,2025-09-20,Demo Customer Bayani,Taguig,0,4,0,2380.00,0.00,120.00
TSP-2025-0149,2025-09-23,Demo Customer Coral,Pasig,7,0,2,5813.00,0.00,150.00
TSP-2025-0150,2025-09-26,Demo Customer Dalisay,Manila,0,6,7,10563.00,0.00,150.00
TSP-2025-0151,2025-09-29,Demo Customer Estrella,Quezon City,7,7,5,12975.00,0.00,180.00
TSP-2025-0152,2025-09-04,Demo Customer Flores,Muntinlupa,0,0,6,5994.00,0.00,180.00
TSP-2025-0153,2025-09-07,Demo Customer Ginto,Makati,2,0,7,8083.00,0.00,120.00
TSP-2025-0154,2025-09-10,Demo Customer Hiraya,Taguig,5,0,4,6721.00,0.00,120.00
TSP-2025-0155,2025-09-13,Demo Customer Isla,Pasig,2,6,7,11653.00,0.00,150.00
TSP-2025-0156,2025-09-16,Demo Customer Jasmin,Manila,0,0,5,4995.00,0.00,150.00
TSP-2025-0157,2025-09-19,Demo Customer Kidlat,Quezon City,0,5,5,7970.00,0.00,180.00
TSP-2025-0158,2025-09-22,Demo Customer Luntian,Muntinlupa,0,4,4,6376.00,0.00,180.00
TSP-2025-0159,2025-09-25,Demo Customer Aurora,Makati,5,3,4,8506.00,0.00,120.00
TSP-2025-0160,2025-09-28,Demo Customer Bayani,Taguig,0,0,6,5994.00,0.00,120.00
TSP-2025-0161,2025-09-03,Demo Customer Coral,Pasig,2,0,4,5086.00,0.00,150.00
TSP-2025-0162,2025-09-06,Demo Customer Dalisay,Manila,0,6,5,8565.00,0.00,150.00
TSP-2025-0163,2025-10-12,Demo Customer Flores,Muntinlupa,0,6,4,7566.00,0.00,180.00
TSP-2025-0164,2025-10-15,Demo Customer Ginto,Makati,3,6,3,8202.00,0.00,120.00
TSP-2025-0165,2025-10-18,Demo Customer Hiraya,Taguig,6,0,0,3270.00,0.00,120.00
TSP-2025-0166,2025-10-21,Demo Customer Isla,Pasig,4,0,4,6176.00,0.00,150.00
TSP-2025-0167,2025-10-24,Demo Customer Jasmin,Manila,7,3,0,5600.00,0.00,150.00
TSP-2025-0168,2025-10-27,Demo Customer Kidlat,Quezon City,3,5,5,9605.00,0.00,180.00
TSP-2025-0169,2025-10-30,Demo Customer Luntian,Muntinlupa,0,0,3,2997.00,0.00,180.00
TSP-2025-0170,2025-10-04,Demo Customer Aurora,Makati,0,4,4,6376.00,0.00,120.00
TSP-2025-0171,2025-10-07,Demo Customer Bayani,Taguig,7,0,3,6812.00,0.00,120.00
TSP-2025-0172,2025-10-10,Demo Customer Coral,Pasig,5,7,7,13883.00,0.00,150.00
TSP-2025-0173,2025-10-13,Demo Customer Dalisay,Manila,0,5,0,2975.00,0.00,150.00
TSP-2025-0174,2025-10-16,Demo Customer Estrella,Quezon City,6,0,2,5268.00,0.00,180.00
TSP-2025-0175,2025-10-19,Demo Customer Flores,Muntinlupa,2,6,0,4660.00,0.00,180.00
TSP-2025-0176,2025-10-22,Demo Customer Ginto,Makati,6,2,3,7457.00,0.00,120.00
TSP-2025-0177,2025-10-25,Demo Customer Hiraya,Taguig,0,0,3,2997.00,0.00,120.00
TSP-2025-0178,2025-10-28,Demo Customer Isla,Pasig,2,4,0,3470.00,0.00,150.00
TSP-2025-0179,2025-10-02,Demo Customer Jasmin,Manila,3,7,0,5800.00,0.00,150.00
TSP-2025-0180,2025-10-05,Demo Customer Kidlat,Quezon City,2,7,5,10250.00,0.00,180.00
TSP-2025-0181,2025-11-13,Demo Customer Aurora,Makati,6,2,6,10454.00,0.00,120.00
TSP-2025-0182,2025-11-16,Demo Customer Bayani,Taguig,0,0,2,1998.00,0.00,120.00
TSP-2025-0183,2025-11-19,Demo Customer Coral,Pasig,7,7,0,7980.00,0.00,150.00
TSP-2025-0184,2025-11-22,Demo Customer Dalisay,Manila,7,0,7,10808.00,0.00,150.00
TSP-2025-0185,2025-11-25,Demo Customer Estrella,Quezon City,6,5,7,13238.00,0.00,180.00
TSP-2025-0186,2025-11-28,Demo Customer Flores,Muntinlupa,0,7,0,4165.00,0.00,180.00
TSP-2025-0187,2025-11-03,Demo Customer Ginto,Makati,4,0,4,6176.00,0.00,120.00
TSP-2025-0188,2025-11-06,Demo Customer Hiraya,Taguig,5,0,3,5722.00,0.00,120.00
TSP-2025-0189,2025-11-09,Demo Customer Isla,Pasig,4,7,6,12339.00,0.00,150.00
TSP-2025-0190,2025-11-12,Demo Customer Jasmin,Manila,0,0,4,3996.00,0.00,150.00
TSP-2025-0191,2025-11-15,Demo Customer Kidlat,Quezon City,0,5,6,8969.00,0.00,180.00
TSP-2025-0192,2025-11-18,Demo Customer Luntian,Muntinlupa,2,7,0,5255.00,0.00,180.00
TSP-2025-0193,2025-11-21,Demo Customer Aurora,Makati,4,7,4,10341.00,0.00,120.00
TSP-2025-0194,2025-11-24,Demo Customer Bayani,Taguig,0,6,0,3570.00,0.00,120.00
TSP-2025-0195,2025-11-27,Demo Customer Coral,Pasig,0,3,4,5781.00,0.00,150.00
TSP-2025-0196,2025-11-02,Demo Customer Dalisay,Manila,7,4,0,6195.00,0.00,150.00
TSP-2025-0197,2025-11-05,Demo Customer Estrella,Quezon City,3,6,2,7203.00,0.00,180.00
TSP-2025-0198,2025-11-08,Demo Customer Flores,Muntinlupa,0,3,0,1785.00,0.00,180.00
TSP-2025-0199,2025-12-14,Demo Customer Hiraya,Taguig,3,0,0,1635.00,0.00,120.00
TSP-2025-0200,2025-12-17,Demo Customer Isla,Pasig,6,2,0,4460.00,0.00,150.00
TSP-2025-0201,2025-12-20,Demo Customer Jasmin,Manila,5,3,0,4510.00,0.00,150.00
TSP-2025-0202,2025-12-23,Demo Customer Kidlat,Quezon City,6,2,4,8456.00,0.00,180.00
TSP-2025-0203,2025-12-26,Demo Customer Luntian,Muntinlupa,5,0,0,2725.00,0.00,180.00
TSP-2025-0204,2025-12-29,Demo Customer Aurora,Makati,3,5,0,4610.00,0.00,120.00
TSP-2025-0205,2025-12-03,Demo Customer Bayani,Taguig,2,5,0,4065.00,0.00,120.00
TSP-2025-0206,2025-12-06,Demo Customer Coral,Pasig,6,6,4,10836.00,0.00,150.00
TSP-2025-0207,2025-12-09,Demo Customer Dalisay,Manila,0,2,0,1190.00,150.00,150.00
TSP-2025-0208,2025-12-12,Demo Customer Estrella,Quezon City,2,2,0,2280.00,0.00,180.00
TSP-2025-0209,2025-12-15,Demo Customer Flores,Muntinlupa,6,7,0,7435.00,0.00,180.00
TSP-2025-0210,2025-12-18,Demo Customer Ginto,Makati,6,4,5,10645.00,0.00,120.00
TSP-2025-0211,2025-12-21,Demo Customer Hiraya,Taguig,0,0,6,5994.00,0.00,120.00
TSP-2025-0212,2025-12-24,Demo Customer Isla,Pasig,3,0,7,8628.00,0.00,150.00
TSP-2025-0213,2025-12-27,Demo Customer Jasmin,Manila,6,7,0,7435.00,0.00,150.00
TSP-2025-0214,2025-12-30,Demo Customer Kidlat,Quezon City,4,6,5,10745.00,0.00,180.00
TSP-2025-0215,2025-12-04,Demo Customer Luntian,Muntinlupa,5,0,0,2725.00,0.00,180.00
TSP-2025-0216,2025-12-07,Demo Customer Aurora,Makati,6,0,4,7266.00,0.00,120.00
